clip_id,start,end
A08,0.78,0.98
A08,0.98,1.08
A08,1.08,1.3
A08,1.3,1.4
A08,1.4,1.7
A08,1.7,1.78
A08,1.78,1.84
A08,1.84,2.06
A08,2.06,2.28
A08,2.28,2.48
A08,2.48,2.6
A08,2.6,2.72
A08,2.72,2.98
A08,2.98,3.26
A08,3.26,3.44
A08,3.44,3.74
A08,3.74,3.88
A08,3.88,4.12
A08,4.12,4.28
A08,4.28,4.68
A08,4.68,4.9
A08,4.9,5.08
A08,5.08,5.34
A08,5.34,5.72
A08,5.72,5.9
A08,5.9,6.08
A08,6.08,6.36
A08,6.36,6.68
A08,6.68,6.9
A08,6.9,7.14
A08,7.14,7.38
A08,7.38,7.8
A08,7.8,7.98
A08,7.98,8.28
A08,8.28,8.48
A08,8.48,10.28
A08,10.28,10.46
A08,10.46,10.6
A08,10.6,10.92
A08,10.92,11.08
A08,11.08,11.2
A08,11.2,11.26
A08,11.26,11.36
A08,11.36,11.6
A08,11.6,11.76
A08,11.76,11.94
A08,11.94,12.38
A08,12.38,12.54
A08,12.54,12.82
A08,12.82,13.1
A08,13.1,13.26
A08,13.26,13.6
A08,13.6,13.72
A08,13.72,13.82
A08,13.82,14.02
A08,14.02,14.26
A08,14.26,14.5
A08,14.5,14.76
A08,14.76,14.98
A08,14.98,15.08
A08,15.08,15.2
A08,15.2,15.38
A08,15.38,15.56
A08,15.56,15.78
A08,15.78,16.02
A08,16.02,16.22
A08,16.22,16.32
A08,16.32,16.46
A08,16.46,16.64
A08,16.64,16.72
A08,16.72,16.92
A08,16.92,17.36
A08,17.36,17.56
A08,17.56,17.72
A08,17.72,17.78
A08,17.78,17.92
A08,17.92,18.14
A08,18.14,18.26
A08,18.26,18.34
A08,18.34,18.5
A08,18.5,18.84
A08,18.84,19.14
A08,19.14,19.32
A08,19.32,19.52
A08,19.52,19.78
A08,20.2625,20.5625
A08,20.5625,20.7025
A08,20.7025,21.0225
A08,21.0225,22.3825
A08,22.3825,22.6025
A08,22.6025,22.762500000000003
A08,22.762500000000003,22.9025
A08,22.9025,23.0625
A08,23.0625,23.262500000000003
A08,23.262500000000003,23.5625
A08,23.5625,23.7425
A08,23.7425,23.9825
A08,23.9825,24.1825
A08,24.1825,24.4025
A08,24.4025,24.5425
A08,24.5425,24.7425
A08,24.7425,25.0225
A08,25.0225,25.2825
A08,25.2825,25.4025
A08,25.4025,25.622500000000002
A08,25.622500000000002,25.762500000000003
A08,25.762500000000003,25.942500000000003
A08,25.942500000000003,26.6625
A08,26.6625,26.962500000000002
A08,26.962500000000002,27.0625
A08,27.0625,27.1825
A08,27.1825,27.4225
A08,27.4225,27.6825
A08,27.6825,28.0425
A08,28.0425,28.302500000000002
A08,28.302500000000002,28.4825
A08,28.4825,28.7225
A08,28.7225,28.8225
A08,28.8225,28.9625
A08,28.9625,29.3825
A08,29.3825,29.5225
A08,29.5225,29.6025
A08,29.6025,29.8425
A08,29.8425,30.1425
A08,30.1425,30.8625
A08,30.8625,31.082500000000003
A08,31.082500000000003,31.2025
A08,31.2025,31.4625
A08,31.4625,31.7225
A08,31.7225,32.042500000000004
A08,32.042500000000004,32.2225
A08,32.2225,32.5025
A08,32.5025,32.8425
A08,32.8425,33.0025
A08,33.0025,33.2625
A08,33.2625,33.4625
A08,33.4625,33.7225
A08,33.7225,33.9025
A08,33.9025,34.1625
A08,34.1625,34.4625
A08,34.4625,34.6025
A08,34.6025,34.682500000000005
A08,34.682500000000005,34.8825
A08,34.8825,35.2625
A08,35.2625,35.4425
A08,35.4425,35.5625
A08,35.5625,35.8625
A08,35.8625,35.9825
A08,35.9825,36.1025
A08,36.1025,36.2425
A08,36.2425,36.4425
A08,36.4425,36.6225
A08,36.6225,36.822500000000005
A08,36.822500000000005,37.1025
A08,37.1025,37.1625
A08,37.1625,37.4025
A08,37.4025,37.4425
A08,37.4425,37.542500000000004
A08,37.542500000000004,37.7625
A08,37.7625,38.0225
A08,38.365,38.485
A08,38.485,38.725
A08,38.725,40.305
A08,40.305,40.565
A08,40.565,40.745000000000005
A08,40.745000000000005,40.905
A08,40.905,41.045
A08,41.045,41.185
A08,41.185,41.365
A08,41.365,41.465
A08,41.465,41.585
A08,41.585,41.885000000000005
A08,41.885000000000005,42.225
A08,42.225,42.465
A08,42.465,42.545
A08,42.545,42.665
A08,42.665,42.885000000000005
A08,42.885000000000005,43.105000000000004
A08,43.105000000000004,43.365
A08,43.365,43.605000000000004
A08,43.605000000000004,43.805
A08,43.805,43.905
A08,43.905,44.025
A08,44.025,44.365
A08,44.365,44.405
A08,44.405,44.645
A08,44.645,44.805
A08,44.805,44.925000000000004
A08,44.925000000000004,45.105000000000004
